question|entity
서울 꽃구경 가고 싶다고|LOCATION PURPOSE O O 
인천 바다 보러 갈거 같아|PURPOSE O O O 
어느 여행지 좋을까|O O O 
부산 야구장 여행지 알고 싶어|LOCATION PURPOSE O O O 
갈만한 대구 스키 여행지 추천해 주세요|O LOCATION PURPOSE O O O 
광주 꽃구경 가고 싶다고요|LOCATION PURPOSE O O 
울산 수목원 알려줘 봐요|LOCATION PURPOSE O O 
여행지 있는지 모르겠네요|O O O 
인천 워터파크 개장한 곳 있어|LOCATION PURPOSE O O O 
어디 여행지 가겠냐|O O O 
파주 유명한 공연장 알려줘|LOCATION O PURPOSE O 
창원 여행 갈만한 바다|LOCATION O O PURPOSE 
평택 갈만한 스키장 여행 해보고 싶네|LOCATION O PURPOSE O O O 
제주도 템플스테이 여행 갈 데 추천해 줘|LOCATION PURPOSE O O O O O 
전주 가까운 바다 여행지 보여줘 봐요|LOCATION O PURPOSE O O O 
용인 가까운 축구장 어딨어|LOCATION O PURPOSE O 
붐비는 여행지|O O 
청주 가을 풍경 예쁜 산 가보고 싶어|LOCATION DATE O O PURPOSE O O 
안산 다시 오고 싶은 템플스테이|LOCATION O O O PURPOSE 
시흥 가까운 물놀이 알려 좀 줘봐요|LOCATION O PURPOSE O O O 
춘천 동물원 여행지 알려주라|LOCATION PURPOSE O O 
목포 꽃놀이 어디 가는게 좋을까|LOCATION PURPOSE O O O 
대산면 가까운 사찰 여행지 추천해 줬으면 해요|LOCATION O PURPOSE O O O O 
강남구 미술관 여행지 알려줘|LOCATION PURPOSE O O 
강동구 경기장 구경 갈래|LOCATION PURPOSE O O 
강북구 볼링장 가고 싶네요|LOCATION PURPOSE O O 
강서구 가까운 문학관 여행지 어디 가야 할까|LOCATION O PURPOSE O O O O 
관악구 갈만한 단풍놀이 추천받고 싶은데요|LOCATION O PURPOSE O O 
혹시 광진구 전시관 갈만한 데 어디니|O LOCATION PURPOSE O O O 
구로구 가까운 템플스테이 여행지 원해요|LOCATION O PURPOSE O O 
금천구 꽃구경 위치 알려줘|LOCATION PURPOSE O O 
노원구 가까운 절 여행지 알려주면 좋겠어요|LOCATION O PURPOSE O O O 
도봉구 박물관 갈만한 곳 추천해 줘|LOCATION PURPOSE O O O O 
동대문구 놀이공원 알고 싶다고요|LOCATION PURPOSE O O 
동작구 계곡 가고 싶은데 알려줄래|LOCATION PURPOSE O O O 
여행지 보고 싶다고|O O O 
서대문구 놀이동산 괜찮을까요|LOCATION PURPOSE O 
서초구 유명한 등산 관광지 추천해 주세요|LOCATION O PURPOSE O O O 
성동구 주변 갈만한 계곡 어디야|LOCATION O O PURPOSE O 
성북구 수목원 가고 싶어|LOCATION PURPOSE O O 
송파구 가까운 축구 여행지 조사|LOCATION O PURPOSE O O 
양천구 유명한 전시관 알려줘 봐요|LOCATION O PURPOSE O O 
영등포구 속 뻥 뚫리는 산책로|LOCATION O O O PURPOSE 
광명구 물놀이 하고 싶어|LOCATION PURPOSE O O 
은평구 유명한 산 여행지 어디 있니|LOCATION O PURPOSE O O O 
