question,intent
서울 꽃구경 가고 싶다고,여행지
인천 바다 보러 갈거 같아,여행지
어느 여행지 좋을까,여행지
부산 야구장 여행지 알고 싶어,여행지
갈만한 대구 스키 여행지 추천해 주세요,여행지
광주 꽃구경 가고 싶다고요,여행지
울산 수목원 알려줘 봐요,여행지
여행지 있는지 모르겠네요,여행지
인천 워터파크 개장한 곳 있어,여행지
어디 여행지 가겠냐,여행지
파주 유명한 공연장 알려줘,여행지
창원 여행 갈만한 바다,여행지
평택 갈만한 스키장 여행 해보고 싶네,여행지
제주도 템플스테이 여행 갈 데 추천해 줘,여행지
전주 가까운 바다 여행지 보여줘 봐요,여행지
용인 가까운 축구장 어딨어,여행지
붐비는 여행지,여행지
청주 가을 풍경 예쁜 산 가보고 싶어,여행지
안산 다시 오고 싶은 템플스테이,여행지
시흥 가까운 물놀이 알려 좀 줘봐요,여행지
춘천 동물원 여행지 알려주라,여행지
목포 꽃놀이 어디 가는게 좋을까,여행지
대산면 가까운 사찰 여행지 추천해 줬으면 해요,여행지
강남구 미술관 여행지 알려줘,여행지
강동구 경기장 구경 갈래,여행지
강북구 볼링장 가고 싶네요,여행지
강서구 가까운 문학관 여행지 어디 가야 할까,여행지
관악구 갈만한 단풍놀이 추천받고 싶은데요,여행지
혹시 광진구 전시관 갈만한 데 어디니,여행지
구로구 가까운 템플스테이 여행지 원해요,여행지
금천구 꽃구경 위치 알려줘,여행지
노원구 가까운 절 여행지 알려주면 좋겠어요,여행지
도봉구 박물관 갈만한 곳 추천해 줘,여행지
동대문구 놀이공원 알고 싶다고요,여행지
동작구 계곡 가고 싶은데 알려줄래,여행지
여행지 보고 싶다고,여행지
서대문구 놀이동산 괜찮을까요,여행지
서초구 유명한 등산 관광지 추천해 주세요,여행지
성동구 주변 갈만한 계곡 어디야,여행지
성북구 수목원 가고 싶어,여행지
송파구 가까운 축구 여행지 조사,여행지
양천구 유명한 전시관 알려줘 봐요,여행지
영등포구 속 뻥 뚫리는 산책로,여행지
광명구 물놀이 하고 싶어,여행지
은평구 유명한 산 여행지 어디 있니,여행지
종로구 가족끼리 계곡 여행,여행지
중구 축구장 어디,여행지
중랑구 템플스테이 여행지 추천해 줘,여행지
부산 서구 템플스테이 추천 필요해,여행지
서울 동구 꽃구경 할만한 곳 어디야,여행지
영도구 계곡 보고 싶은데 추천해 줘,여행지
부산진구 시원한 여름 축제,여행지
동래구 유명한 꽃구경 축제 보고 싶어,여행지
성산읍 수목원 추천해 봐요,여행지
북구 산 여행지 좀 알려줘,여행지
부산 해운대 유명한 박물관 있냐,여행지
구좌읍 벚꽃 핀 곳 있니,여행지
금정구 꽃놀이 어디서 하는지 알려줘,여행지
연제구 여름 풍경 예쁜 산 알고 있니,여행지
수영구 전시관 여행지 추천해 줄 수 있어,여행지
사상구 갈만한 바다 여행지 있나,여행지
기장구 축구장 여행지 뭐 있냐,여행지
미추홀구 3월 축제 추천해 주지 않을래,여행지
여행지 정보,여행지
남동구 유명한 미술관 추천해 봐,여행지
부평구 가까운 놀이공원 원해요,여행지
계양구 갈만한 야구 여행지 알려주세요,여행지
여행지 띄워줘,여행지
괜찮은 달서구 봄 축제 있는지 알려줘,여행지
여행지 띄워줄래,여행지
건대 근처 쉼터 있니 알려줘,여행지
신촌 가까운 야구장 어디 있어,여행지
이태원 유명한 꽃구경 축제 알려줘,여행지
강남역 가까운 바다,여행지
신논현역 계곡 가고 싶네,여행지
강남 가로수길 갈만한 산 없나요,여행지
인사동 갈만한 워터파크 추천해 줘,여행지
효자동 인기 있는 스키 여행지 추천해줘,여행지
완산구 갈만한 단풍 여행지 보고싶어요,여행지
덕진구 스키장 개장한 곳 있지 않아,여행지
전라도 광주 미술관 여행지 부탁해,여행지
서울 유명한 꽃놀이 정보,여행지
서울 가까운 바다 여행지 추천해 봐,여행지
부산 야구장 여행지,여행지
한림읍 유명한 축구 여행지 보여줘 봐,여행지
생비량면 갈만한 단풍 축제 구경하고 싶은데요,여행지
미천면 갈만한 단풍 여행지 추천받고 싶어요,여행지
갈법한 외서면 1월 축제 보여줘,여행지
장안면 혹시 식물원 여행지 추천해 줄 수 있어,여행지
울릉도 가볼만한 계곡 알려주세요,여행지
연천 계곡 추천 받고 싶다,여행지
동두천 가까운 식물원 어디로 가야 하지요,여행지
포천 등산 여행지 알려줘,여행지
가평 시설 좋은 경기장 알려주세요,여행지
여행 가려는데 의정부 식물원 여행지 추천해 줘,여행지
양주 인기 많은 계곡 알려주세요,여행지
광주 12월 축제 갈 거에요,여행지
현내면 해수욕장 보고 싶네,여행지
안양 가까운 계곡 추천 좀 해봐요,여행지
의왕 추천해 주고픈 꽃구경,여행지
가볼만한 안산 워터파크 있어,여행지
물놀이 하고 싶은데 현남면 갈만한 데 있어,여행지
경기도 화성 소풍 가는거 어때,여행지
오산 축구장 어디 있을까,여행지
현북면 문학관 여행지 알려줘 봐,여행지
당진 가까운 단풍놀이 여행지 알려줬으면 해,여행지
쉬고 싶은데 갈만한 천안 여행지 어디로 갈까,여행지
아산 식물원 보여줘 봐요,여행지
태안 벚꽃 보고 싶다,여행지
홍성 놀이공원 보고 싶네요,여행지
예산 유명한 사찰 여행지 원해,여행지
보령 가까운 동물원 여행지 어디 가야 할지 모르겠어,여행지
청양 유명한 축구장,여행지
부여 수목원 여행지 가고 싶어,여행지
공주 소풍 가고 싶어,여행지
스트레스 풀고 싶은데 논산 운동 장소 없나,여행지
서천 박물관 알려줘,여행지
군산 꽃구경 원해요,여행지
추운데 익산 스키장 어때,여행지
김제 꽃 보고 싶은데 식물원 알려줘,여행지
사랑 받는 부안 산책로,여행지
완주 갈만한 깨끗한 바다 있는가,여행지
영광 사찰 알고 싶다고,여행지
장성 바다 있지,여행지
담양 벚꽃 여행지 띄워주세요,여행지
전북 순창 유명한 가을 축제 여행지 알려줘 봐요,여행지
신안 등산 갈 거에요,여행지
광주 전시관 추천 좀 해줘,여행지
영암 물놀이 여행 어디 갈까,여행지
장흥 문학관 여행지 보여줘 봐요,여행지
강진 넓은 경기장 알려주세요,여행지
해남 7월 축제 가고 싶어,여행지
진도 등산 갈거야,여행지
완도 겨울 축제 추천해 줘라,여행지
고흥 주변 축제 있니,여행지
거금도 넓은 방있는 호텔,여행지
여수 물놀이 하고 싶어,여행지
순천 가까운 스키 여행지 어디에요,여행지
화순 가까운 놀이동산 여행지 부탁드립니다,여행지
놀기 좋은 보성 계곡,여행지
나주 갈만한 등산 여행지 가보고 싶네요,여행지
남해 가까운 바다 여행지,여행지
동검도 바다 있죠,여행지
광양 템플스테이 장소 추천해 줘,여행지
호남 7월 축제 알려달라고요,여행지
구례 유명한 축구 여행지 알려줘 봐,여행지
바다 보고 싶은데 곡성 어때,여행지
통영 소문난 산책로,여행지
거제 좋은 계곡 알고 있니,여행지
많이 가는 함안 여행지,여행지
유명한 의령 미술관 보여줘 봐요,여행지
산청 가까운 산 여행지 어디야,여행지
합천 단풍 여행지 말해줘,여행지
창녕 11월 축제 추천 좀 부탁할게요,여행지
밀양 바다 여행지 추천해 줘,여행지
기장 겨울 풍경 예쁜 산 알려줘,여행지
울주 주목받는 축제,여행지
경주 가까운 바다 궁금해,여행지
영덕 축제 있는지 좀 알려주세요,여행지
영양 유명한 축제 알려줘 봐,여행지
안동 유명한 전시관 추천해 봐요,여행지
의성 놀이공원 있어요,여행지
청송 유명한 야구 여행지 추천해 봐요,여행지
울진 단풍놀이 여행지 추천해 줬으면 해,여행지
영월 화려한 축제,여행지
평창 가까운 등산 여행지 원해,여행지
잠깐 다녀올 수 있는 여행지 알려줘,여행지
동해 유명한 깨끗한 바다 여행지,여행지
서울 단풍놀이 가고 싶어요,여행지
태백 축제 몇 가지 알려줘,여행지
속초 대포항 가까운 놀이공원 어디야,여행지
속초 단풍 축제 읊어봐,여행지
양구 깨끗한 바다 여행지 알려줄래,여행지
칠곡면 스키 타고 싶은데 스키장 추천해 줘,여행지
휴전면 축구장 어디 있냐,여행지
더워서 화천 계곡 가보고 싶은데요,여행지
강원 오봉산 가을 단풍놀이 할래,여행지
놀고 싶은데 즐길만한 여행지 있을까,여행지
춘천 유명한 야구장 가볼래,여행지
철원 갈만한 스키장 여행지 가보고 싶네,여행지
명성 축제 띄워주었으면 좋겠어요,여행지
백운 경기장 알려주지 않을래,여행지
어디 여행지 추천할래,여행지
구룡포 등산로 띄워주었음 좋겠어요,여행지
모가면 문학관 추천해 줘,여행지
설성면 괜찮은 등산로 있는지 모르겠는데 해결 좀 해줘,여행지
연제구 민속놀이 배우고 싶어,여행지
수영구 알법한 축제 알려줘,여행지
사상구 유명한 꽃구경 정보 알고 싶어,여행지
기장구 가족끼리 계곡 여행 가고 싶어,여행지
미추홀구 취사 가능한 산림,여행지
서울 테마공원 있는지 모르겠어,여행지
남동구 가까운 바다 있으면 말해줘,여행지
부평구 갈만한 절 있을까요,여행지
계양구 어른 좋아하는 축제,여행지
수성구 가까운 물놀이 빨리 말해,여행지
달서구 바다 여행지 어디 있을까,여행지
증평읍 축구 여행,여행지
미타사 가까운 산 여행지 어디니,여행지
운동하고 싶은데 세종특별시 탁구장 추천해 줘,여행지
여행지 어때요,여행지
여행지 어디로 가면 좋을까요,여행지
가까운 바다 여행지 있어요,여행지
유명한 꽃놀이 정보 알려주세요,여행지
유명한 수목원 여행지 있어,여행지
추천할만한 축구 여행지 있어,여행지
여행지 몰라서 문제네요,여행지
경기장 알려주지 않겠니,여행지
유명한 스키장 어디 있어요,여행지
가까운 등산 여행지 볼래,여행지
꽃구경 보여주지 않을래,여행지
전시관 좀 알려줘,여행지
갈만한 깨끗한 바다 여행지 있나요,여행지
넓은 경기장 추천해 줘,여행지
여름 갈만한 여행지 알려주세요,여행지
문학관 여행지 알려줄 수 있어,여행지
템플스테이 조사하고 싶네,여행지
여행지 있지 않을까,여행지
어디 축제 좋겠어,여행지
깨끗한 계곡 말해줘,여행지
여행지 보고 싶다고요,여행지
혹시 동물원 여행지 알려줄 수 있을까,여행지
주변 꽃 핀 공원 있으면 알려줘,여행지
여행지 가보고 싶은데,여행지
가까운 바다 여행지 알려줘 봐요,여행지
가까운 식물원 여행지 어디로 가야 할지를 모르겠어,여행지
유명한 등산 여행지 추천 부탁한다,여행지
꽃 축제 열리는 곳 알려줘,여행지
꽃놀이 있을지 고민이네,여행지
전시관 여행지 보여줘 봐,여행지
계곡 있나요,여행지
꽃구경 둘이서 하고 싶어,여행지
물놀이 할만한 곳 있을까,여행지
가까운 수목원 위치 모르겠어,여행지
유명한 계곡 여행지 있죠,여행지
어디 여행지 갈 건가요,여행지
넓은 풋살장 있는지 모르겠어요,여행지
여행지 추천해 달라고,여행지
박물관 있니,여행지
유명한 바다 여행지 알려줘,여행지
여행지 없을까요,여행지
여름 여행지 알려줘,여행지
추천하는 여행지,여행지
괜찮은 꽃구경 있을지 고민되네,여행지
가까운 바다 여행지 있지,여행지
가까운 꽃놀이 여행지 볼래요,여행지
더운데 워터파크 갈까,여행지
계곡 괜찮은가,여행지
유명한 야구장 여행지 추천해 줘요,여행지
갈만한 절 여행지 추천해 줘,여행지
바다 관련된 여행지 좀 보여줘,여행지
갈만한 여행지 있어,여행지
갈만한 산 있어요,여행지
식물원 추천해,여행지
수목원 여행지 알고 싶어,여행지
유명한 깨끗한 바다 여행지 어디 있냐,여행지
단풍놀이 여행지 추천해 줘,여행지
수영장 어디야,여행지
바다 여행지 있어,여행지
야구 여행지 갈만한 곳 추천해 줘,여행지
유명한 산 여행지 알고 싶어,여행지
계곡 가고 싶어,여행지
놀이동산 여행지 있죠,여행지
가까운 단풍 여행지 알려주면 좋겠어,여행지
여행지 있을까,여행지
꽃놀이 추천받고 싶네요,여행지
꽃구경 어디지,여행지
장미꽃 보고 싶어,여행지
갈만한 콘서트장 있나,여행지
4월 축제 갈래,여행지
유명한 물놀이 있지,여행지
여행지 있지 않을까요,여행지
갈만한 바다 여행지 부탁드려요,여행지
가까운 단풍놀이 여행지 추천해주길 바래,여행지
사람들이 원하는 여행지,여행지
주변 높지 않은 산 추천해 줘,여행지
계곡 여행지 보고 싶어,여행지
괜찮은 사찰 여행지 있나요,여행지
여행지 어디 가면 좋을까,여행지
가까운 단풍놀이 여행지 보여주길 바래,여행지
어느 여행지 가야 잘했다 소문 날까,여행지
가까운 바다 있니,여행지
괜찮은 숲 알려줘,여행지
갈만한 단풍 여행지 보고싶어요,여행지
연인 갈법한 여행지,여행지
